Os Jardins de Sal,2020,7.9,"Em uma vila costeira onde nada cresce além de cristais brancos, uma botânica descobre sementes antigas capazes de mudar o destino da comunidade, mas seu florescimento desperta memórias enterradas sob o mar."
Rua dos Lanternins,2022,8.4,"Toda noite, uma rua escondida surge em um bairro antigo e oferece às pessoas a chance de revisitar um único arrependimento. Um jornalista decide investigá-la, sem perceber o preço cobrado por cada visita."
A Última Luz de Arken,2018,8.3,"Quando as torres solares da cidade de Arken começam a falhar sem explicação, uma engenheira desacreditada precisa cruzar os desertos de vidro para encontrar a fonte do colapso antes que a última noite permanente caia sobre o reino."
A Cantora do Inverno,2016,7.7,"Depois de perder a voz em plena estreia, uma jovem soprano encontra uma antiga partitura que só pode ser cantada durante a neve e descobre que sua música altera as emoções de toda a cidade."
Pássaros de Cobre,2015,7.5,"Inventores mirins constroem aves mecânicas para competir no festival da capital, mas um de seus protótipos descobre segredos de Estado gravados nas correntes de vento."
Relógios de Neblina,2017,8.1,"Um relojoeiro solitário passa a receber relógios que marcam horas de acontecimentos que ainda não ocorreram, e precisa decidir se deve impedir o futuro ou preservá-lo a qualquer custo."
Ferro e Açafrão,2018,7.6,"Uma cozinheira e um ferreiro unem talentos improváveis para salvar uma pequena cidade ameaçada por uma companhia mineradora, transformando receitas tradicionais em resistência popular."
Cidade Baixa das Nuvens,2021,8.0,"Em uma metrópole construída entre pontes suspensas, uma entregadora clandestina se envolve em uma conspiração política ao transportar uma mala que ninguém deveria abrir."
O Farol de Vidro,2023,8.5,"Em uma ilha constantemente cercada por névoa, a nova guardiã do farol percebe sinais de embarcações que não aparecem em nenhum mapa e inicia uma vigília que desafia a lógica."
Mar de Bronze,2019,7.8,"Um capitão aposentado volta ao mar para localizar um navio desaparecido há vinte anos, mas a busca o leva a enfrentar uma tripulação de lendas, culpas e ecos do passado."
A Ponte das Marés,2020,8.2,"Uma ponte que só aparece na maré baixa liga duas cidades inimigas. Quando uma médica atravessa para socorrer crianças do outro lado, ela desencadeia uma improvável aliança."
Noite em Vespera,2019,7.9,"Em uma cidade onde o pôr do sol dura três horas, um taxista noturno passa a transportar passageiros que dizem vir de dias futuros e precisa juntar as histórias antes que o tempo se parta."
Colheita da Lua Fraca,2016,7.4,"Em uma comunidade rural que planta apenas à luz da lua, a chegada de um agrônomo cético ameaça tradições antigas, até que fenômenos inexplicáveis passam a surgir nos campos."
Os Últimos do Teatro Íris,2022,8.6,"Quando um velho teatro prestes a fechar recebe um roteiro anônimo sobre seus próprios atores, a última temporada se transforma em um acerto de contas entre palco, memória e verdade."
A República dos Sinos,2023,8.4,"Em uma cidade governada pelos toques de enormes sinos públicos, um afinador descobre que a melodia oficial manipula decisões coletivas e decide sabotar a harmonia do sistema."
O Mapa das Janelas,2017,8.1,"Um menino que desenha o que vê da janela percebe que seus rabiscos revelam lugares escondidos da própria cidade. Quando uma janela mostra alguém pedindo ajuda, ele inicia uma busca real."
Chuva sobre Calder,2019,7.7,"Após anos de seca, a primeira chuva em Calder traz à tona desenhos antigos nas ruas e revela uma história apagada da fundação da cidade, obrigando seus moradores a reverem seus heróis."
Tempestade em Âmbar,2021,7.8,"Durante uma temporada de tempestades elétricas raras, moradores de uma cidade do interior começam a ouvir vozes presas em objetos antigos. Uma radialista decide transmiti-las ao vivo."
As Cartas de Vale Sereno,2014,8.0,"Uma professora encontra uma mala repleta de cartas nunca entregues e decide levá-las aos destinatários, descobrindo como pequenas mensagens mudaram o rumo de gerações inteiras."
A Menina e o Observatório,2020,8.3,"Uma adolescente fascinada por estrelas invade um observatório fechado e encontra sinais luminosos vindos da Terra, não do céu, iniciando uma investigação científica e pessoal."
A Casa das Quatro Estações,2023,8.5,"Uma família herda uma casa cujos cômodos obedecem a estações diferentes do ano. Enquanto tentam vendê-la, cada ambiente revela lembranças guardadas pelo antigo proprietário."
Lobos de Papel,2015,7.8,"Em um vilarejo cercado por florestas, esculturas de papel começam a aparecer nas portas das casas sempre antes de um desaparecimento. Um bibliotecário percebe um padrão escondido nas dobraduras."
Trens para Aurora Menor,2024,8.4,"Em uma ferrovia quase esquecida, um maquinista volta a operar a última linha noturna e percebe que alguns passageiros compram bilhetes para lugares que deixaram de existir."
Cinzas na Estação Norte,2017,7.9,"Depois de um incêndio misterioso em uma estação ferroviária abandonada, um investigador encontra bilhetes carbonizados que parecem descrever viagens que nunca aconteceram."
As Máquinas de Tília,2022,8.0,"Em uma fábrica desativada, antigas máquinas voltam a funcionar sozinhas e produzem objetos ligados a eventos futuros. Uma ex-operária lidera a tentativa de entender o fenômeno."
A Biblioteca Submersa,2024,8.7,"Mergulhadores localizam uma antiga biblioteca no fundo de um lago artificial, e uma arquivista precisa decidir quais livros salvar primeiro quando percebe que um deles narra o presente."
Horizonte de Pedra,2016,7.5,"Uma arqueóloga encontra ruínas no topo de um cânion e percebe que as inscrições descrevem pessoas que ainda vivem na região, incluindo ela própria."
O Navio das Oliveiras,2021,8.1,"Uma restauradora de arte viaja em um cargueiro transformado em museu flutuante e descobre que cada obra do acervo foi retirada de um mesmo povoado, desaparecido dos registros oficiais."
Verão em Monte Rubro,2018,7.6,"Durante o verão mais quente já registrado, moradores de uma cidade serrana começam a ter o mesmo sonho com uma trilha esquecida. Três irmãos resolvem segui-la antes que as memórias sumam."
